pair_id,kn_word,te_word,kn_iso,te_iso,synset_id,gloss,candidate_source,label,origin,annotator,notes
B000000,ಅಂಕೆ,అంకె,aṁke,aṁke,,"kn: ಒಂದು, ಎರಡು, ಮೂರು ಕ್ರಮಾನುಗತ ಎಣಿಕೆಯ || te: లెక్క చూచిక",form_similar,,,,
B000001,ಅಂಗ,అంగ,aṁga,aṁga,,"kn: ಸಾಮಾನ್ಯವಾಗಿ ಶರೀರದ ಒಂದು ಭಾಗವು ವಿಶೇಷ ಕೆಲಸವನ್ನು ಮಾಡುವುದು || te: నడుచుటలో, పరిగెత్తుటలో ఒక ప్రదేశము నుండి కాలును/పాదమును మరొక ప్రదేశమునకు పెట్టడంలోవున్న దూరం",form_similar,,,,
B000002,ಅಂಗಚ್ಚೇದನ,అంగచ్చేదన,aṁgaccēdana,aṁgaccēdana,,"kn: ಶರೀರದ ಯಾವುದೇ ಅಂಗ ಅಥವಾ ಅವಯವಗಳನ್ನು ಕತ್ತರಿಸಲ್ಪಟ್ಟಿರುವುದು ಅಥವಾ ಕತ್ತರಿಸುವುದು, ಇಲ್ಲವೆ ತುಂಡರಿಸಿರುವುದು || te: శరీరంలో నుండి ఒక అవయవాన్ని తీసేయడం",form_similar,,,,
B000003,ಅಂಗದ,అంగద,aṁgada,aṁgada,,kn: ರಾಮನ ಸೇನೆಯಲ್ಲಿರುವ ಒಬ್ಬ ವಾನರನು ಬಾಲಿಯ ಮಗನಾಗಿದ್ದ || te: కడుపు ఖాళీగా ఉన్నప్పుడు కలిగే  బాధ,form_similar,,,,
B000004,ಅಂಗಾಲು,అంగాలు,aṁgālu,aṁgālu,,kn: ಕಾಲಿನ ಕೆಳಗೆಯ ಭಾಗ ನೆಡೆಯುವಾಗ ಭೂಮಿಯ ಮೇಲೆ ಇರುತ್ತದೆ || te: శరీరంలో ఉండే అన్నీ అంగాలు.,form_similar,,,,
B000005,ಅಂಜನಾದೇವಿ,అంజనాదేవి,aṁjanādēvi,aṁjanādēvi,,kn: ಕೇಸರಿಯ ಹೆಂಡತಿಯಾದ ಅಂಜನಾದೇವಿ ಗರ್ಭದಲ್ಲಿ ಹನುಮಂತನ ಜನ್ಮವಾಯಿತು || te: హనుమంతుడి తల్లి,form_similar,,,,
B000006,ಅಂಜಲಿ,అంజలి,aṁjali,aṁjali,,kn: ಎರಡೂ ಕೈಯನ್ನು ಸೇರಿಸಿ ಬಗ್ಗಿಸಿದಾಗ ಆಗುವಂತಹ ಕಂದಕದಿಂದ ಏನನ್ನಾದರು ತುಂಬಲು ಅಥವಾ ಕೊಡಲು ಉಪಯೋಗಿಸುತ್ತಾರೆ || te: వినయపూర్వకముగా అభివాదము చేయు క్రియ.,form_similar,,,,
B000007,ಅಂಟು,అంటు,aṁṭu,aṁṭu,,"kn: ವನಸ್ಪತಿಯ ಮರದಿಂದ ಹೊರಬರುವ ಜಿಡು-ಜಿಡ್ಡಾದ ಅಂಟಿನ ಅಥವಾ ಚಿಗುಟಾದ ಸ್ರಾವ, ರಸ || te: తడి వస్తువు యొక్క ముద్దను అంటించడం.",form_similar,,,,
B000008,ಅಂತಸ್ತು,అంతస్తు,aṁtastu,aṁtastu,,"kn: ಯೋಗ್ಯತೆ, ಕರ್ತವ್ಯ ಇತ್ಯಾದಿಗಳಲ್ಲಿ ಮಾಡಿರುವ ವಿಭಾಗ || te: ఒకదాని మీద మరోకటి ఇల్లు కట్టడం",form_similar,,,,
B000009,ಅಂತಿಮ,అంతిమ,aṁtima,aṁtima,,kn: ಯಾವುದಾದರೂ ಸಂಗತಿ ಮತ್ತು ವಸ್ತುವಿನ ಮುಕ್ತಾಯದ ಅಥವಾ ಮುಗಿಯುವ ಹಂತವನ್ನು ಗುರುತಿಸುವುದು || te: అంతం వరకు వెళ్ళిటేటువంటి,form_similar,,,,
B000010,ಅಚಲ,అచల,acala,acala,,kn: ಚಂಚಲತೆ ಇಲ್ಲದೆ ಅಥವಾ ಸ್ಥಿರ ಅಥವಾ ಅಚಲವಾಗಿ ನಿಂತಿರುವ ಸ್ಥಿತಿ ಕ್ರಿಯೆ ಅಥವಾ ಭಾವನೆ || te: పంచ భూతలలో ఒక గ్రహం,form_similar,,,,
B000011,ಅಜ್ಞಾನಿ,అజ్ఞాని,ajñāni,ajñāni,,"kn: ಒಬ್ಬ ವ್ಯಕ್ತಿಗೆ ಯಾವುದಾದರು ವಿಶೇಷವಾದ ಕ್ಷೇತ್ರದ ಜ್ಞಾನ, ಅನುಭವ ಕಡಿಮೆ ಇರುವುದು || te: వివేక జ్ఞానం లేనివారు.",form_similar,,,,
B000012,ಅಟವಿ,అటవి,aṭavi,aṭavi,,kn: ದೊಡ್ಡ ಮತ್ತು ದಡ್ಡವಾದ ಕಾಡುಗಳ ಕ್ಷೇತ್ರದಲ್ಲಿರುವ ಮರ-ಗಿಡ ಅಥವಾ ಬೇರೆ ವನಸ್ಪತಿಗಳು || te: దట్టమైన చెట్లపొదలతో క్రూరమృగాలతో ఉండే స్థలం,form_similar,,,,
B000013,ಅಟ್ಟ,అట్ట,aṭṭa,aṭṭa,,kn: ಮನೆಯ ಮೇಲಿನ ಭಾಗ || te: పుస్తకాలు చినగకుండా ఉండటానికి చేసేది,form_similar,,,,
B000014,ಅಟ್ಟು,అట్టు,aṭṭu,aṭṭu,,"kn: ಹೆದರಿಸಿ ಯಾರನ್ನಾದರು ಎಲ್ಲಿಂದಾದರು ಓಡಿಸುವ ಕ್ರಿಯೆ || te: బియ్యం పిండి, మినప పప్పు కలిపి చేసే దక్షిణ భారతీయ వంటకం",form_similar,,,,
B000015,ಅಟ್ಟೆ,అట్టె,aṭṭe,aṭṭe,,kn: ಚಪ್ಪಲಿಯ ಕೆಳಭಾಗ ನೆಡೆಯುವಾಗ ಭೂಮಿಯ ಮೇಲೆ ಪದರಕ್ಕೆ ತಾಕುತ್ತದೆ || te: ఎనిమిది చుక్కలున్న పేకముక్క,form_similar,,,,
B000016,ಅಡಲು,అడలు,aḍalu,aḍalu,,kn: ವಿಪ್ಪತ್ತು ಅಥವಾ ಅನಿಷ್ಟ ಭಯದಿಂದ ಮನಸ್ಸಿನಲ್ಲಿ ಉತ್ಪತ್ತಿಯಾಗುವ ಮನಸ್ಸಿನ ಬದಲಾವಣೆ ಅಥವಾ ಭಾವ || te: జరగబోవు కీడు తెలిసినప్పుడు మనస్సులో కలిగే భావన.,form_similar,,,,
