pair_id,kn_word,te_word,kn_iso,te_iso,en_kn,en_te,gloss,candidate_source,label,origin,annotator,notes,excluded
B000000,ವಿಕಾರ,వికారం,vikāra,vikāraṁ,The condition of any organ or organ that is deformed,It is a defect due to which the form-color of any object is discolored,kn: ಸಹಜ ಆಕಾರ ಕೆಡಿಸಿಕೊಂಡ ಯಾವುದೇ ಅಂಗ ಅಥವಾ ಆವಯವದ ಸ್ಥಿತಿ || te: అది ఒక దోషము దాని కారణంగా ఏదేని వస్తువు యొక్క రూపు-రంగు చెరిగిపోతుంది,shared_synset,cognate,sanskrit,Dhanya,,
B000001,ಅಲೆ,దారితప్పు,ale,dāritappu,The process of loitering or walking in vain,Going back and forth,kn: ವ್ಯರ್ಥವಾಗಿ ಅಲ್ಲಿ-ಇಲ್ಲಿ ಸುತ್ತಾಡುವ ಅಥವಾ ನಡೆದಾಡುವ ಪ್ರಕ್ರಿಯೆ || te: అటు_ఇటు తిరిగి వెళ్ళడం,shared_synset,unrelated,,Dhanya,,
B000002,ಜನ್ಮವೆತ್ತಿದಂತ,ఉత్పన్నమయిన,janmavettidaṁta,utpannamayina,Someone born or begotten/begotten,Coming to earth anew from the mother's womb,kn: ಯಾರೋ ಒಬ್ಬರು ಹುಟ್ಟಿರುವರು ಅಥವಾ ಜನ್ಮ ತಾಳಿದವರು/ಪಡೆದವರು || te: తల్లి గర్భం నుండి కొత్తగా భూమిపైకి రావడం,shared_synset,unrelated,,Dhanya,,
B000003,ಅಪ್ರಸ್ತುತ,వెల్లగొట్టుట,aprastuta,vellagoṭṭuṭa,Absence of person and material facts at a particular time and place,disclosure,,random,unrelated,,Dhanya,,
B000004,ಅವಧ್,అవధీ,avadh,avadhī,A pilgrimage site on the banks of Sarayu River in Uttar Pradesh,A language related to Awadha region,kn: ಉತ್ತರ ಪ್ರದೇಶದ ಸರಯೂ ನದಿಯ ದಡದಲ್ಲಿರುವ ಒಂದು ತೀರ್ಥಸ್ಥಳ || te: అవధ ప్రాంతానికి సంబంధించిన భాష,form_similar,cognate,sanskrit,Dhanya,,
B000005,ಸೂಕ್ಷ್ಮದರ್ಶಿ,సూక్ష్మదర్శిని,sūkṣmadarśi,sūkṣmadarśini,Thinking or understanding very subtle or small talk,This machine makes small objects appear larger.,kn: ಅತಿ ಸೂಕ್ಷ್ಮವಾದ ಅಥವಾ ಸಣ್ಣ ಸಣ್ಣ ಮಾತನ್ನು ಯೋಚಿಸುವ ಅಥವಾ ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವ || te: ఈ యంత్రము వలన చిన్న వస్తువులు పెద్దవిగా కనిపిస్తాయి.,form_similar,false_friend,,Dhanya,,
B000006,ನಿರೀಕ್ಷಕ,నిరీక్షణ,nirīkṣaka,nirīkṣaṇa,Anticipation of any event or thing,"The act of looking deeply into any action, word or deed.","kn: ಯಾವುದಾದರೂ ಘಟನೆಯ,ವಸ್ತುವಿನ ನಿರೀಕ್ಷಣೆ || te: ఏదేని పని , లేక మాట మరియు  వ్యవహారమును చాలా లోతుగా చూచే క్రియ.",form_similar,false_friend,,Dhanya,,
B000007,ಪ್ರಸನ್ನದಾಯಕವಾದಂತ,కొండాటమైన,prasannadāyakavādaṁta,koṁḍāṭamaina,Arousing pleasure,Soothing to the mind,kn: ಆನಂದವನ್ನು ಉಂಟುಮಾಡುವಂತಹದು || te: మనస్సుకు హాయిని కలిగించేటువంటి,shared_synset,unrelated,,Dhanya,,
B000008,ಅನ್ನಪೂರ್ಣೆ,ఏకాభిప్రాయము,annapūrṇe,ēkābhiprāyamu,Shiva's wife,Having one or the same opinion.,,random,unrelated,,Dhanya,,
B000009,ಭೂಗರ್ಭಶಾಸ್ತ್ರ,భూగోళశాస్త్రం,bhūgarbhaśāstra,bhūgōḷaśāstraṁ,A science involves the analysis or description of the top form and natural divisions of the earth.,The science of earth,kn: ಒಂದು ಶಾಸ್ತ್ರದಲ್ಲಿ ಪೃಥ್ವಿಯ ಮೇಲ್ಭಾಗದ ಸ್ವರೂಪ ಮತ್ತು ಪ್ರಾಕೃತಿಕ ವಿಭಾಗಗಳ ವಿವೇಚನೆ ಅಥವಾ ವರ್ಣನೆಯನ್ನು ಒಳಗೊಂಡಿರುತ್ತದೆ || te: భూమి గురించి తేలియజేసే శాస్త్రం,shared_synset,cognate,sanskrit,Dhanya,,
B000010,ಪಿಕಾಸಿ,చెనికిపార,pikāsi,cenikipāra,A tool picks up something like a nail and puts it somewhere or stuffs something like that,An iron tool used to dig the soil,kn: ಒಂದು ಉಪಕರಣದಿಂದ ಮೊಣ್ಣು ಮುಂತಾದವುಗಳನ್ನು ಎತ್ತಿಕೊಂಡು ಎಲ್ಲೋ ಒಂದು ಕಡೆ ಹಾಕುವರು ಅಥವಾ ಯಾವುದೇ ವಸ್ತು ಮುಂತಾದವುಗಳನ್ನು ತುಂಬುವರು || te: మట్టిని తవ్వడానికి ఉపయోగించే ఇనుప సాధనం,shared_synset,unrelated,,Dhanya,,
B000011,ಅನೀಶ,కంబుపాణి,anīśa,kaṁbupāṇi,"According to Hindus, there is only one God who sustains creation","According to the Hindu belief, the God of Dashavatars",kn: ಹಿಂಧೂಗಳ ಪ್ರಕಾರ  ಸೃಷ್ಟಿಯನ್ನು ಪಾಲನೆ ಮಾಡುತ್ತಿರುವುದು ಒಬ್ಬನೇ ದೇವರು || te: హిందువుల విశ్వాసం ప్రకారం దశావతారాలుగల దేవుడు,shared_synset,unrelated,,Dhanya,,
B000012,ಬಡಬಾಗ್ನಿ,కాష్ఠదుహము,baḍabāgni,kāṣṭhaduhamu,A fire burning within the sea as believed by common people,It is supposed to be flammable in the sea,kn: ಸಾಮಾನ್ಯ ಜನರು ನಂಬುವಂಥ ಸಮುದ್ರದೊಳಗೆ ಉರಿಯುತ್ತಿರುವ ಬೆಂಕಿ || te: సముద్రములోపల మండేదిగా అనుకోబడునది,shared_synset,unrelated,,Dhanya,,
B000013,ಪ್ರಜಾಪತಿ,అంభోజజన్ముడు,prajāpati,aṁbhōjajanmuḍu,Hindus believe that one God created creation,Creator according to Hinduism,kn: ಹಿಂದೂಗಳು ಒಬ್ಬ ದೇವನು  ಸೃಷ್ಟಿಯನ್ನು ನಿರ್ಮಿಸಿದ್ದಾರೆಂದು ನಂಬಿರುವರು || te: హిందు ధర్మం ప్రకారం సృష్టికర్త,shared_synset,unrelated,,Dhanya,,
B000014,ಧರ್ಮಜ್ಞಾನಿ,ధర్మజ్ఞాని,dharmajñāni,dharmajñāni,Who knows well about religion,He is well versed in all virtues,kn: ಯಾರಿಗೆ ಧರ್ಮದ ಬಗೆಗೆ ಚೆನ್ನಾಗಿ ತಿಳಿದಿರುತ್ತದೆಯೋ || te: అన్ని ధర్మాలలోనూ మంచి జ్ఞానం గలవాడు,shared_synset,cognate,sanskrit,Dhanya,,
B000015,ವಾಚ್ಯ,వాచ్యం,vācya,vācyaṁ,directly understandable (grammar),Any sense of telling.,kn: ನೇರವಾಗಿ ಅರ್ಥವಾಗುವಂತಹ (ವ್ಯಾಕರಣ) || te: ఏదైన చెప్పే భావన.,form_similar,cognate,sanskrit,Dhanya,,
B000016,ಘರ್ಷಣೆ,యుద్ధము,gharṣaṇe,yuddhamu,An attempt or effort to move forward from a dire and adverse situation,Endeavor to face fearful situations.,kn: ಭಯಂಕರ ಮತ್ತು ವ್ಯತಿರಿಕ್ತ ಪರಿಸ್ಥಿತಿಯಿಂದ ಹೊರಗೆ ಬಂದು ಮುಂದೆ ಸಾಗಲು ಪಡುವ ಪ್ರಯತ್ನ ಅಥವಾ ಪ್ರಯಾಸ || te: భయకరమైన పరిస్థితులను ఎదుర్కొనుటకు చేయుప్రయాస.,shared_synset,unrelated,,Dhanya,,
B000017,ಧರ್ಮಶಾಸ್ತ್ರಿ,ధర్మశాస్త్రి,dharmaśāstri,dharmaśāstri,Who knows well about religion,A person who knows the scriptures,kn: ಯಾರಿಗೆ ಧರ್ಮದ ಬಗೆಗೆ ಚೆನ್ನಾಗಿ ತಿಳಿದಿರುತ್ತದೆಯೋ || te: ధర్మ గ్రంధాలు తెలిసిన వ్యక్తి,form_similar,cognate,sanskrit,Dhanya,,
