pair_id,kn_word,te_word,kn_iso,te_iso,synset_id,gloss_en,candidate_source,label,origin,annotator,notes
B000000,.,.,.,.,,"kn: ಯಾವುದೇ ಕೆಲಸ, ಸ್ಪರ್ಧೆ ಮುಂತಾದವುಗಳಲ್ಲಿ ಯಾರೋ ಒಬ್ಬರಿಗಿಂತ ಮುಂದೆ ಹೋಗಲು ಆಗದೆ ಅಥವಾ ಸಮಾ ಸಮಾ ಮಾಡಲು ಆಗದೆ ಇರುವ ಪ್ರಕ್ರಿಯೆ || te: ఈ సయయములో వచ్చి హాజరై ఉండిన",form_similar,,,,
B000001,000,000,000,000,,kn: ನೂರು-ನೂರುಗಳನ್ನು ಕೂಡುವಿಕೆಯಿಂದ ಪ್ರಾಪ್ತವಾಗು ಸಂಖ್ಯೆ || te: బ్రహ్మకు ఒక రోజుకు పట్టు కాలం,form_similar,,,,
B000002,100000000000000000,100000000000000000,100000000000000000,100000000000000000,,kn: ಒಂದರ ಮುಂದೆ ಹದಿನೇಳು ಸೊನ್ನೆಗಳನ್ನು ಹಾಕುವುದರಿಂದ ಪ್ರಾಪ್ತವಾಗುವ ಸಂಖ್ಯೆ || te: పది లక్షల పదివేలకోట్లు,form_similar,,,,
B000003,100000000000000000,౧౦౦౦౦౦౦౦౦౦౦౦౦౦౦౦౦౦,100000000000000000,100000000000000000,,kn: ಒಂದರ ಮುಂದೆ ಹದಿನೇಳು ಸೊನ್ನೆಗಳನ್ನು ಹಾಕುವುದರಿಂದ ಪ್ರಾಪ್ತವಾಗುವ ಸಂಖ್ಯೆ || te: పది లక్షల పదివేలకోట్లు,form_similar,,,,
B000004,20,20,20,20,,kn: ಹತ್ತು ಮತ್ತು ಹತ್ತು || te: పదునైదుకు ఐదు జోడిస్తే వచ్చే సంఖ్య,form_similar,,,,
B000005,ಅಂಕೆ,అంకె,aṁke,aṁke,,"kn: ಒಂದು, ಎರಡು, ಮೂರು ಕ್ರಮಾನುಗತ ಎಣಿಕೆಯ || te: లెక్క చూచిక",form_similar,,,,
B000006,ಅಂಗಚ್ಚೇದನ,అంగచ్చేదన,aṁgaccēdana,aṁgaccēdana,,"kn: ಶರೀರದ ಯಾವುದೇ ಅಂಗ ಅಥವಾ ಅವಯವಗಳನ್ನು ಕತ್ತರಿಸಲ್ಪಟ್ಟಿರುವುದು ಅಥವಾ ಕತ್ತರಿಸುವುದು, ಇಲ್ಲವೆ ತುಂಡರಿಸಿರುವುದು || te: శరీరంలో నుండి ఒక అవయవాన్ని తీసేయడం",form_similar,,,,
B000007,ಅಂಗದ,అంగద,aṁgada,aṁgada,,kn: ರಾಮನ ಸೇನೆಯಲ್ಲಿರುವ ಒಬ್ಬ ವಾನರನು ಬಾಲಿಯ ಮಗನಾಗಿದ್ದ || te: కడుపు ఖాళీగా ఉన్నప్పుడు కలిగే  బాధ,form_similar,,,,
B000008,ಅಂಗಾಲು,అంగాలు,aṁgālu,aṁgālu,,kn: ಕಾಲಿನ ಕೆಳಗೆಯ ಭಾಗ ನೆಡೆಯುವಾಗ ಭೂಮಿಯ ಮೇಲೆ ಇರುತ್ತದೆ || te: శరీరంలో ఉండే అన్నీ అంగాలు.,form_similar,,,,
B000009,ಅಂಜಲಿ,అంజలి,aṁjali,aṁjali,,kn: ಎರಡೂ ಕೈಯನ್ನು ಸೇರಿಸಿ ಬಗ್ಗಿಸಿದಾಗ ಆಗುವಂತಹ ಕಂದಕದಿಂದ ಏನನ್ನಾದರು ತುಂಬಲು ಅಥವಾ ಕೊಡಲು ಉಪಯೋಗಿಸುತ್ತಾರೆ || te: వినయపూర్వకముగా అభివాదము చేయు క్రియ.,form_similar,,,,
B000010,ಅಂಟು,అంటు,aṁṭu,aṁṭu,,"kn: ವನಸ್ಪತಿಯ ಮರದಿಂದ ಹೊರಬರುವ ಜಿಡು-ಜಿಡ್ಡಾದ ಅಂಟಿನ ಅಥವಾ ಚಿಗುಟಾದ ಸ್ರಾವ, ರಸ || te: తడి వస్తువు యొక్క ముద్దను అంటించడం.",form_similar,,,,
B000011,ಅಂತಸ್ತು,అంతస్తు,aṁtastu,aṁtastu,,"kn: ಯೋಗ್ಯತೆ, ಕರ್ತವ್ಯ ಇತ್ಯಾದಿಗಳಲ್ಲಿ ಮಾಡಿರುವ ವಿಭಾಗ || te: ఒకదాని మీద మరోకటి ఇల్లు కట్టడం",form_similar,,,,
B000012,ಅಂತಿಮ,అంతిమ,aṁtima,aṁtima,,kn: ಯಾವುದಾದರೂ ಸಂಗತಿ ಮತ್ತು ವಸ್ತುವಿನ ಮುಕ್ತಾಯದ ಅಥವಾ ಮುಗಿಯುವ ಹಂತವನ್ನು ಗುರುತಿಸುವುದು || te: అంతం వరకు వెళ్ళిటేటువంటి,form_similar,,,,
B000013,ಅಚಲ,అచల,acala,acala,,kn: ಚಂಚಲತೆ ಇಲ್ಲದೆ ಅಥವಾ ಸ್ಥಿರ ಅಥವಾ ಅಚಲವಾಗಿ ನಿಂತಿರುವ ಸ್ಥಿತಿ ಕ್ರಿಯೆ ಅಥವಾ ಭಾವನೆ || te: పంచ భూతలలో ఒక గ్రహం,form_similar,,,,
B000014,ಅಜ್ಞಾನಿ,అజ్ఞాని,ajñāni,ajñāni,,"kn: ಒಬ್ಬ ವ್ಯಕ್ತಿಗೆ ಯಾವುದಾದರು ವಿಶೇಷವಾದ ಕ್ಷೇತ್ರದ ಜ್ಞಾನ, ಅನುಭವ ಕಡಿಮೆ ಇರುವುದು || te: వివేక జ్ఞానం లేనివారు.",form_similar,,,,
B000015,ಅಟವಿ,అటవి,aṭavi,aṭavi,,kn: ದೊಡ್ಡ ಮತ್ತು ದಡ್ಡವಾದ ಕಾಡುಗಳ ಕ್ಷೇತ್ರದಲ್ಲಿರುವ ಮರ-ಗಿಡ ಅಥವಾ ಬೇರೆ ವನಸ್ಪತಿಗಳು || te: దట్టమైన చెట్లపొదలతో క్రూరమృగాలతో ఉండే స్థలం,form_similar,,,,
B000016,ಅಟ್ಟ,అట్ట,aṭṭa,aṭṭa,,kn: ಮನೆಯ ಮೇಲಿನ ಭಾಗ || te: పుస్తకాలు చినగకుండా ఉండటానికి చేసేది,form_similar,,,,
B000017,ಅಟ್ಟು,అట్టు,aṭṭu,aṭṭu,,"kn: ಹೆದರಿಸಿ ಯಾರನ್ನಾದರು ಎಲ್ಲಿಂದಾದರು ಓಡಿಸುವ ಕ್ರಿಯೆ || te: బియ్యం పిండి, మినప పప్పు కలిపి చేసే దక్షిణ భారతీయ వంటకం",form_similar,,,,
B000018,ಅಟ್ಟೆ,అట్టె,aṭṭe,aṭṭe,,kn: ಚಪ್ಪಲಿಯ ಕೆಳಭಾಗ ನೆಡೆಯುವಾಗ ಭೂಮಿಯ ಮೇಲೆ ಪದರಕ್ಕೆ ತಾಕುತ್ತದೆ || te: ఎనిమిది చుక్కలున్న పేకముక్క,form_similar,,,,
B000019,ಅಡಲು,అడలు,aḍalu,aḍalu,,kn: ವಿಪ್ಪತ್ತು ಅಥವಾ ಅನಿಷ್ಟ ಭಯದಿಂದ ಮನಸ್ಸಿನಲ್ಲಿ ಉತ್ಪತ್ತಿಯಾಗುವ ಮನಸ್ಸಿನ ಬದಲಾವಣೆ ಅಥವಾ ಭಾವ || te: జరగబోవు కీడు తెలిసినప్పుడు మనస్సులో కలిగే భావన.,form_similar,,,,
B000020,ಅತ್ತ,అత్త,atta,atta,,kn: ಇನ್ನೊಂದು ದಿಕ್ಕನ್ನು ನಿರ್ದೇಶಿಸುವುದು || te: భర్త లేక భార్య యొక్క తల్లి,form_similar,,,,
B000021,ಅತ್ಯಧಿಕ,అత్యధిక,atyadhika,atyadhika,,kn: ಯಾವುದಾದರೂ ನಿರ್ದಿಷ್ಟ ಸಂಖ್ಯಾ ಪ್ರಮಾಣಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿರುವ ಪ್ರಮಾಣ || te: చాలా ఎక్కువ సంఖ్యలో ఉన్న స్థితి,form_similar,,,,
B000022,ಅದುರು,అదురు,aduru,aduru,,kn: ವಿಪ್ಪತ್ತು ಅಥವಾ ಅನಿಷ್ಟ ಭಯದಿಂದ ಮನಸ್ಸಿನಲ್ಲಿ ಉತ್ಪತ್ತಿಯಾಗುವ ಮನಸ್ಸಿನ ಬದಲಾವಣೆ ಅಥವಾ ಭಾವ || te: ఆధికచలి వలన శరీరంలో వచ్చేది,form_similar,,,,
B000023,ಅಧಿಕಪ್ರಸಂಗಿ,అధికప్రసంగి,adhikaprasaṁgi,adhikaprasaṁgi,,kn: ಯಾರೋ ಒಬ್ಬರು ಅತಿಯಾಗಿ ಮಾತನಾಡುತ್ತಾರೆ || te: అనవసర మాటలు అతిగా మాట్లాడే వ్యక్తి.,form_similar,,,,
B000024,ಅಧಿಪತಿ,అధిపతి,adhipati,adhipati,,kn: ಸಭೆ ಅಥವಾ ಸಮಾಜದಲ್ಲಿ ಒಂದಾಗುವ ವ್ಯಕ್ತಿ || te: ఏపనైనా ముందుండి నడిపించువాడు,form_similar,,,,
B000025,ಅಧೋಗತಿ,అధోగతి,adhōgati,adhōgati,,"kn: ಯುದ್ಧ, ಕದನ ಮುಂತಾದ ಎದುರಾಳಿಗಳ ಅತಿಕ್ರಮಣದ ಸಂದರ್ಭದಲ್ಲಿ ಒಂದು ದೇಶ ಅಥವಾ ಪ್ರಾಂತ್ಯವು ಸೋತು ತನ್ನ ದನ ಧಾನ್ಯ ಸಂಪತ್ತು ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ || te: పని చేయుటలో అందరి కంటే చివర ఉండటం.",form_similar,,,,
B000026,ಅಧ್ಯಕ್ಷ,అధ్యక్ష,adhyakṣa,adhyakṣa,,kn: ಸಭೆ ಅಥವಾ ಸಮಾಜದಲ್ಲಿ ಒಂದಾಗುವ ವ್ಯಕ್ತಿ || te: అధ్యక్షుడికి సంబంధించిన,form_similar,,,,
B000027,ಅಧ್ಯಾಯಿ,అధ్యాయి,adhyāyi,adhyāyi,,kn: ಯಾರೋ ಒಬ್ಬರು ಶಿಕ್ಷಣವನ್ನು ಪಡೆಯುತ್ತಿರುವರೋ || te: విద్యను అభ్యసించేవాడు,form_similar,,,,
B000028,ಅನಂತ,అనంత,anaṁta,anaṁta,,kn: ಕೊನೆಯೇ ಇಲ್ಲದಿರುವುದು || te: శివుడి యొక్క భార్య,form_similar,,,,
B000029,ಅನುಕೃತಿ,అనుకృతి,anukr̥ti,anukr̥ti,,kn: ಒಂದು ಭಾಷೆಯಲ್ಲಿ ಬರೆದಿರುವಂತಹ ವಸ್ತು ಅಥವಾ ಹೇಳಿರುವಂತಹ ಮಾತನ್ನು ಇನ್ನೊಂದು ಭಾಷೆಯಲ್ಲಿ ಬರೆಯುವ ಅಥವಾ ಹೇಳುವ ಕಾರ್ಯ || te: ఒక వస్తువు లాంటిదిగా కలిగిన మరొక వస్తువు రకము.,form_similar,,,,
B000030,ಅನುಗಾಮಿ,అనుగామి,anugāmi,anugāmi,,kn: ಆಜ್ಞೆಯನ್ನು ಪಾಲನೆ ಮಾಡುವ || te: ఎవరి సిద్ధాంతాన్నైనా ఒప్పుకొని మరియు దానికి అనుగుణంగా నడుచుకునే వ్యక్తి.,form_similar,,,,
B000031,ಅನುಚರಿ,అనుచరి,anucari,anucari,,kn: ಅವರು ಮನೆಯ ಕೆಲಸ ಮತ್ತು ಮನೆಯವರ ಸೇವೆಯನ್ನು ಮಾಡುತ್ತಾರೆ || te: ఎవరి సిద్ధాంతాన్నైనా ఒప్పుకొని మరియు దానికి అనుగుణంగా నడుచుకునే వ్యక్తి.,form_similar,,,,
B000032,ಅನುಜ,అనుజ,anuja,anuja,,kn: ವಯಸ್ಸಿನಲ್ಲಿ ಚಿಕ್ಕವನು || te: చెల్లెలు లేక అక్క.,form_similar,,,,
B000033,ಅನುರಕ್ತಿ,అనురక్తి,anurakti,anurakti,,"kn: ಸ್ತ್ರೀ ಮತ್ತು ಪುರಷರ ನಡುವಣ ಉಂಟಾಗುವ ಶೃಂಗಾರ ರೂಪದ, ಭಾವಾವಸ್ಥೆ || te: బలమైన అభిమానం",form_similar,,,,
B000034,ಅನ್ನ,అన్న,anna,anna,,kn: ತಿನ್ನುವುದಕ್ಕಾಗಿ ನೀರಿನಲ್ಲಿ ಬೇಸಿದ ಅಕ್ಕಿ || te: తమ్ముడికి ముందుపుట్టిన వాడు,form_similar,,,,
B000035,ಅನ್ಯಜಾತಿ,అన్యజాతి,anyajāti,anyajāti,,kn: ಬೇರೆ ಬೇರೆ ಜಾತಿಗೆ ಸೇರಿದವರನ್ನು ಗುರುತಿಸುವುದು || te: ఒక జాతిలో కాకుండా ఇంకోక జాతిలో పుట్టిన,form_similar,,,,
B000036,ಅಪರಾಜಿತ,అపరాజిత,aparājita,aparājita,,kn: ಸೋಲನ್ನು ಕಾಣದೇ ಇರುವಂತಹ || te: శివుడి యొక్క భార్య,form_similar,,,,
B000037,ಅಪ್ಪು,అప్పు,appu,appu,,kn: ಕಷ್ಟದ ಸಂದರ್ಭದಲ್ಲಿ ಅಥವಾ ಬಾಯಭೀತರಾದಾಗ ಒಬ್ಬರು ಇನ್ನೊಬ್ಬರನ್ನು ಆಶ್ರಯಿಸುವುದು || te: ఇతరుల దగ్గర తీసుకొను డబ్బు.,form_similar,,,,
