pair_id,kn_word,te_word,kn_iso,te_iso,en_kn,en_te,gloss,candidate_source,label,origin,annotator,notes,excluded
P000000,ತರಿ,తరి,tari,tari,to chisel / roughen a hard surface,a boat/vessel that ferries wood & metal by water,"kn: ಮರ, ಕಲ್ಲು ಗಟ್ಟಿಯಾದ ರಬ್ಬರ್ ವಸ್ತುಇತ್ಯಾದಿ ಗಟ್ಟಿ ವಸ್ತುಗಳನ್ನು ಉಳಿ ಇತ್ಯಾದಿ ಉಪಕರಣಗಳ ಸಹಾಯದಿಂದ ಅದರ ಮೇಲ್ಮೈಯನ್ನು ಒರಟುಗೊಳಿಸುವ ಪ್ರಕ್ರಿಯೆ || te: నీళ్ళలో ప్రయాణం చేస్తూ కొయ్యలను, లోహాలను సరఫరా చేసేవి",form_similar,false_friend,,Dhanya,,
P000001,ಮೆತ್ತೆ,ఔష్ఠ్యాలు,mette,auṣṭhyālu,mattress / cushion,labials (lip speech-sounds),,random,unrelated,,Dhanya,,
P000002,ಸಾಧನ,సాధనం,sādhana,sādhanaṁ,tool / instrument / means,tool / instrument (for any task),kn: ಯಾವುದಾದರು ಕೆಲಸಗಳಿಗೆ ಉಪಯೋಗವಾಗುವ ಸಾಮರ್ಥ್ಯವಿರುವ ವಸ್ತು || te: ఏదైన పనికి ఉపయోగించే పనిముట్టు.,shared_synset,cognate,sanskrit,Dhanya,,
P000003,ತಂದ್ರಿ,తంత్రి,taṁdri,taṁtri,drowsiness / lethargy,string of an instrument (e.g. sitar),kn: ಪ್ರಾಣಿಗಳ ಆ ಸ್ಥಿತಿ ಅದರಿಂದ ಎಚ್ಚರ ಹೊಂದುವುದರ ಹಿಂದೆ ಕೆಲವು ಸಮಯಗಳವರೆಗೆ ಯಾವುದೇ ಕೆಲಸವಿಲ್ಲದೆ ವಿಶ್ರಾಂತಿ ಹೊಂದುವಂತಹದ್ದು ಮತ್ತು ಅವರಿಗೆ ಶಾರೀರಿಕವಾಗಿ ಹಾಗೂ ಮಾನಸಿಕವಾಗಿ ವಿಶ್ರಾಂತಿ ಲಭಿಸುತ್ತದೆ || te: సితార్ యొక్క తీగలాగా ఉండేది,form_similar,false_friend,,Dhanya,very old classical language,
P000004,ಗುಣಗಾನ,ఇరికించు,guṇagāna,irikiṁcu,singing someone's praises; eulogy,to squeeze in / insert / trap,,random,unrelated,,Dhanya,,
P000005,ಅಲುಗಿಸಿದಂತಹ,మామిడివిత్తు,alugisidaṁtaha,māmiḍivittu,shaken / moved (adjectival),mango seed / stone,,random,unrelated,,Dhanya,,
P000006,ಪರೋಪಕಾರ,పరోపకారము,parōpakāra,parōpakāramu,benevolence; helping others,benevolence; doing good to others,kn: ಬೇರೆಯವರಿಗೆ ಮಾಡುವ ಉಪಕಾರ ಅಥವಾ ನೆರವು || te: ఇతరులకు మంచిని చేసే కార్యము లేక భావము,form_similar,cognate,sanskrit,Dhanya,,
P000007,ಮೈಲಿ,మైలు,maili,mailu,mile (unit of distance),"mile (5,280 feet)",kn: ದೂರವನ್ನು ಅಳೆಯುವ ಒಂದು ಮಾನ || te: ఐదువేల రెండు వందల ఎనవై అడుగుల దూరం,shared_synset,cognate,other_borrowing,Dhanya,,
P000008,ನಿರುಪಯುಕ್ತ,నిరుపయోగం,nirupayukta,nirupayōgaṁ,useless / lacking use,useless; of no use,kn: ಉಪಯೋಗದ ಕೊರೆತೆ ಇರುವುದು || te: ప్రయోజనం లేనిది,shared_synset,cognate,sanskrit,Dhanya,,
P000009,ಯಶಸ್ಸು-ಕಾಣದಂತ,పేరులేని,yaśassu-kāṇadaṁta,pērulēni,gaining no success despite good work,without a (good) name / renown,kn: ಯಾರಿಗೆ ಒಳ್ಳೆಯ ಕೆಲಸವನ್ನು ಮಾಡಿದ್ದರೂ ಯಶಸ್ಸು ಸಿಗುವುದಿಲ್ಲವೋ || te: అతనికి మంచి పనులు చేసినా మంచిపేరు దొరకలేదు,shared_synset,unrelated,,Dhanya,,
P000010,ಕಲ್ಪನಾತೀತವಾದಂತ,టెంకాయచెట్లు,kalpanātītavādaṁta,ṭeṁkāyaceṭlu,beyond imagination; unimaginable,coconut trees,,random,unrelated,,Dhanya,,
P000011,ತಲಬು,తలపు,talabu,talapu,salary / wages,a thought / intention,kn: ನೌಕರಿಗೆ ದೊರೆಯುವಂತಹ ಸಂಬಳ || te: యోచించేటటువంటి భావన.,form_similar,false_friend,,Dhanya,,
P000012,ಚಿಬುಕ,చిలుక,cibuka,ciluka,chin,parrot (used in fortune-telling),kn: ಗದ್ದದ ಅಥವಾ ಗದ್ದಕ್ಕೆ ಸಂಬಂಧಿಸಿದಂತಹ || te: జ్యోష్యం చెప్పడానికి ఉపయోగించుకునే పక్షి,form_similar,false_friend,,Dhanya,,
P000013,ಗಡಿಯಾ,గడియ,gaḍiyā,gaḍiya,of a border / boundary,a moment; a unit of time (ghadiya),kn: ಸೀಮೆ ಅಥವಾ ಗಡಿಗೆ ಸಂಬಂಧಿಸಿದ || te: ఏదైనా ఒక పని చేయుటకు ఇచ్చు సమయం.,form_similar,false_friend,,Dhanya,,
P000014,ಹಾವು,వ్యాప్తి,hāvu,vyāpti,snake,spread / extent / pervasion,,random,unrelated,,Dhanya,,
P000015,ಯಾತ್ರಿ,భాటసారి,yātri,bhāṭasāri,traveller / pilgrim,traveller / wayfarer,kn: ಯಾತ್ರೆಯನ್ನು ಕೈಗೊಂಡವ ಅಥವಾ ಯಾವುದೇ ಕ್ಷೇತ್ರಗಳನ್ನು ನೋಡಲು ಬಂದವರು || te: ఎవ్వరైతే యాత్రలు చేస్తారో.,shared_synset,unrelated,,Dhanya,,
P000016,ತಾಮಸ,తామసి,tāmasa,tāmasi,darkness; absence of light,Shiva's wife,kn: ಬೆಳಕಿನ ಅಭಾವ || te: శివుడి యొక్క భార్య,form_similar,cognate,,Dhanya,"Telugu word polysemous; gloss showed sense lord shiva's wife, labeled on shared-origin sense darkness or absence on light",
P000017,ಜ್ವಾಲಾಮುಖಿ-ಪರ್ವತ,జ్వాలాముఖి-పర్వతం,jvālāmukhi-parvata,jvālāmukhi-parvataṁ,volcano,a place taller than a hill; a mountain,"kn: ಆ ಪರ್ವತ ಶಿಖರದ ತುದಿಯಿಂದ ಹೊಗೆ, ಬೂದಿ ಬೆಂಕಿ ಮೊದಲಾದ ಪದಾರ್ಥಗಳು ನೀರಾಗಿ ಆಗಿಂದಾಗೆ ಹೊರಬರುತ್ತದೆ || te: కొండకంటే ఎత్తైన ప్రదేశం",shared_synset,cognate,sanskrit,Dhanya,,
